crop,result,source_image,label_file,bbox_index,class_id
1_bbox0.jpg,YES,1.jpg,1.txt,0,0.0
10_bbox0.jpg,NO,10.jpg,10.txt,0,1.0
100_bbox0.jpg,YES,100.jpg,100.txt,0,0.0
1000_bbox0.jpg,YES,1000.jpg,1000.txt,0,0.0
1001_bbox0.jpg,YES,1001.jpg,1001.txt,0,0.0
1002_bbox0.jpg,YES,1002.jpg,1002.txt,0,0.0
1003_bbox0.jpg,いいえ。,1003.jpg,1003.txt,0,0.0
1004_bbox0.jpg,Yes,1004.jpg,1004.txt,0,0.0
1005_bbox0.jpg,YES,1005.jpg,1005.txt,0,0.0
1005_bbox1.jpg,YES,1005.jpg,1005.txt,1,0.0
1006_bbox0.jpg,YES,1006.jpg,1006.txt,0,0.0
1007_bbox0.jpg,NO,1007.jpg,1007.txt,0,0.0
1008_bbox0.jpg,NO,1008.jpg,1008.txt,0,0.0
1009_bbox0.jpg,YES,1009.jpg,1009.txt,0,0.0
101_bbox0.jpg,YES,101.jpg,101.txt,0,0.0
1010_bbox0.jpg,YES,1010.jpg,1010.txt,0,0.0
1011_bbox0.jpg,YES,1011.jpg,1011.txt,0,0.0
1012_bbox0.jpg,YES,1012.jpg,1012.txt,0,0.0
1013_bbox0.jpg,YES,1013.jpg,1013.txt,0,0.0
1014_bbox0.jpg,YES,1014.jpg,1014.txt,0,0.0
1015_bbox0.jpg,YES,1015.jpg,1015.txt,0,0.0
1016_bbox0.jpg,YES,1016.jpg,1016.txt,0,0.0
1017_bbox0.jpg,YES,1017.jpg,1017.txt,0,0.0
1018_bbox0.jpg,YES,1018.jpg,1018.txt,0,0.0
1019_bbox0.jpg,YES,1019.jpg,1019.txt,0,1.0
102_bbox0.jpg,YES,102.jpg,102.txt,0,0.0
102_bbox1.jpg,YES,102.jpg,102.txt,1,0.0
102_bbox2.jpg,NO,102.jpg,102.txt,2,1.0
1020_bbox0.jpg,YES,1020.jpg,1020.txt,0,0.0
1021_bbox0.jpg,YES,1021.jpg,1021.txt,0,0.0
1022_bbox0.jpg,YES,1022.jpg,1022.txt,0,0.0
1023_bbox0.jpg,YES,1023.jpg,1023.txt,0,0.0
1024_bbox0.jpg,YES,1024.jpg,1024.txt,0,0.0
1025_bbox0.jpg,YES,1025.jpg,1025.txt,0,0.0
1026_bbox0.jpg,NO,1026.jpg,1026.txt,0,0.0
1027_bbox0.jpg,YES,1027.jpg,1027.txt,0,0.0
1028_bbox0.jpg,YES,1028.jpg,1028.txt,0,0.0
1029_bbox0.jpg,NO,1029.jpg,1029.txt,0,0.0
103_bbox0.jpg,YES,103.jpg,103.txt,0,0.0
1030_bbox0.jpg,YES,1030.jpg,1030.txt,0,0.0
1031_bbox0.jpg,NO,1031.jpg,1031.txt,0,0.0
1032_bbox0.jpg,YES,1032.jpg,1032.txt,0,0.0
1033_bbox0.jpg,NO,1033.jpg,1033.txt,0,0.0
1034_bbox0.jpg,NO,1034.jpg,1034.txt,0,0.0
1035_bbox0.jpg,YES,1035.jpg,1035.txt,0,0.0
1036_bbox0.jpg,YES,1036.jpg,1036.txt,0,0.0
1037_bbox0.jpg,YES,1037.jpg,1037.txt,0,0.0
1038_bbox0.jpg,YES,1038.jpg,1038.txt,0,0.0
1039_bbox0.jpg,YES,1039.jpg,1039.txt,0,0.0
104_bbox0.jpg,YES,104.jpg,104.txt,0,0.0
1040_bbox0.jpg,YES,1040.jpg,1040.txt,0,0.0
1041_bbox0.jpg,YES,1041.jpg,1041.txt,0,0.0
1042_bbox0.jpg,YES,1042.jpg,1042.txt,0,0.0
1042_bbox1.jpg,いいえ。,1042.jpg,1042.txt,1,1.0
1043_bbox0.jpg,申し訳ありませんが、この画像からは判断でき,1043.jpg,1043.txt,0,0.0
1044_bbox0.jpg,YES,1044.jpg,1044.txt,0,0.0
1045_bbox0.jpg,はい、これは日本の車のナンバ,1045.jpg,1045.txt,0,0.0
1046_bbox0.jpg,NO,1046.jpg,1046.txt,0,0.0
1047_bbox0.jpg,YES,1047.jpg,1047.txt,0,0.0
1047_bbox1.jpg,YES,1047.jpg,1047.txt,1,0.0
